Papel   Cotacao P/L        P/VP    PSR        DY      P/Ativo    P/Cap.Giro P/EBIT     P/ACL       EV/EBIT     EV/EBITDA Mrg.Ebit    Mrg.Liq.    Liq.Corr. ROIC        ROE   Liq.2meses
ALUP11  23.92   11.12      1.32    1.439      0.0288  0.350      3.03       3.35       -0.91       6.09        5.71    0.4299      0.272       2.17    0.1241      0.1186 21398500.00
ALUP3   9.72    13.56      1.61    1.754      0.0237  0.427      3.70       4.08       -1.11       6.82        6.40    0.4299      0.272       2.17    0.1241      0.1186 174772.00
ALUP4   7.05    9.84       1.17    1.272      0.0326  0.310      2.68       2.96       -0.80       5.70        5.35    0.4299      0.272       2.17    0.1241      0.1186 200526.00
AMAR3   7.79    -9.29      1.54    0.716      0.00    0.596      2.54       6.54       -8.48       9.74        4.77    0.1095      -0.1003     1.76    0.1119      -0.1658 50665300.00
AMBP3   27.99   0.00       13.58   0.000      0.00    3.350      13.47      0.00       -12.16      0.00        0.00    0.00        0.00        2.21    0.00        0.00  17498200.00
ANIM3   28.20   -77.13     1.89    2.395      0.00    0.910      3.37       17.63      -6.57       19.91       11.29   0.1358      -0.0307     3.44    0.0682      -0.0245 14799100.00
APER3   25.60   -83.59     1.67    3.111      0.0021  1.127      4.65       -93.54     17.30       -69.38      71.85   -0.0333     -0.0372     2.63    -0.0176     -0.02 2140190.00
ARZZ3   55.50   120.14     7.54    3.509      0.0064  2.917      7.21       257.72     23.42       259.54      49.48   0.0136      0.0292      2.21    0.0189      0.0628 33494200.00
ATOM3   3.20    8.63       5.46    3.572      0.00    3.064      3.27       13.22      5.52        10.54       10.49   0.2702      0.4137      17.71   0.6834      0.6329 759501.00
AURA32  924.80  0.00       0.00    0.000      0.00    0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        1.20    0.00        0.00  5072680.00
AZEV3   10.69   0.76       -0.23   -1.245     0.00    1.021      -0.31      2.02       -0.21       3.22        3.22    -0.6154     -1.65       0.14    1.0812      -0.3071 202117.00
AZEV4   4.15    0.29       -0.09   -0.483     0.00    0.396      -0.12      0.79       -0.08       1.98        1.98    -0.6154     -1.65       0.14    1.0812      -0.3071 243449.00
AZUL4   22.49   -0.63      -0.61   0.811      0.00    0.507      -1.23      -2.81      -0.32       -9.25       22.39   -0.2884     -1.2836     0.36    -0.2502     0.9628 384198000.00
B3SA3   60.57   37.00      4.88    16.431     0.0239  2.822      29.18      29.30      -35.69      27.59       22.25   0.5608      0.4439      1.39    0.1419      0.132 644524000.00
BAHI3   127.00  -15.33     2.85    3.504      0.00    0.676      -10.76     -31.11     -1.12       -29.40      -35.60  -0.1126     -0.2267     0.69    -0.0242     -0.1858 138097.00
BALM3   18.90   26.61      1.76    1.257      0.0138  0.908      3.09       20.45      5.44        22.42       16.90   0.0615      0.0333      1.91    0.0504      0.066 32483.40
BALM4   12.50   17.60      1.16    0.832      0.0208  0.600      2.04       13.53      3.60        15.49       11.68   0.0615      0.0333      1.91    0.0504      0.066 159259.00
BAUH4   89.88   31.97      6.18    2.581      0.0095  3.708      21.23      29.21      25.75       27.01       20.80   0.0883      0.0807      1.47    0.248       0.1933 33150.00
BAZA3   36.65   3.43       0.49    0.000      0.0977  0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        0.1438 114236.00
BBAS3   33.18   5.90       0.91    0.000      0.0554  0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        0.1536 595931000.00
BBDC3   19.67   9.91       1.29    0.000      0.0798  0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        0.1303 108425000.00
BBDC4   21.23   10.69      1.39    0.000      0.0813  0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        0.1303 1047760000.00
BBRK3   1.99    -0.48      0.43    0.614      0.00    0.232      2.50       -2.52      -1.79       -0.83       -1.44   -0.2433     -1.1477     1.48    -0.1107     -0.9091 2154370.00
BBSE3   27.04   0.00       0.00    0.000      0.153   0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        0.00  129297000.00
BDLL3   24.00   -0.19      -0.39   1.010      0.00    0.053      -0.20      -0.79      -0.07       -5.55       -6.57   -1.2753     -5.3741     0.60    -0.0803     2.0925 1226.44
BDLL4   8.90    -0.07      -0.15   0.374      0.00    0.020      -0.08      -0.29      -0.03       -5.05       -5.98   -1.2753     -5.3741     0.60    -0.0803     2.0925 59098.10
BEEF3   13.04   9.26       7.57    0.354      0.00    0.374      1.11       3.67       -1.33       6.80        5.83    0.0964      0.0382      2.01    0.1981      0.8178 103997000.00
BEES3   5.64    7.77       1.12    0.000      0.0475  0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        0.1449 143497.00
BEES4   5.80    7.99       1.16    0.000      0.0462  0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        0.1449 26076.00
BGIP3   41.62   7.83       1.41    0.000      0.0171  0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        0.1803 1235.71
BGIP4   27.69   5.21       0.94    0.000      0.0283  0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        0.1803 85608.50
BIDI11  59.61   577.93     6.64    0.000      0.0047  0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        0.0115 37409700.00
BIDI3   18.76   545.65     6.27    0.000      0.005   0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        0.0115 7330630.00
BIDI4   20.30   590.44     6.78    0.000      0.0046  0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        0.0115 36681000.00
BIOM3   16.60   -16.63     8.36    39.193     0.00    2.837      16.95      -22.29     -8.53       -24.88      -27.21  -1.7585     -2.3565     2.04    -0.1606     -0.5027 608342.00
BKBR3   10.91   -12.67     1.60    1.008      0.0047  0.704      24.51      -17.41     -2.13       -19.89      16.38   -0.0579     -0.0796     1.14    -0.0508     -0.1266 22583200.00
BMEB3   14.70   5.39       0.81    0.000      0.0424  0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        0.1496 38719.00
BMEB4   13.42   4.92       0.74    0.000      0.0511  0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        0.1496 126260.00
BMGB4   5.29    0.00       0.78    0.000      0.04    0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        0.00  6669830.00
BMIN3   19.01   44.48      0.74    0.000      0.00    0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        0.0167 87049.30
BMIN4   19.30   45.16      0.75    0.000      0.0725  0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        0.0167 41929.10
BMKS3   215.00  38.43      0.55    6.227      0.0283  0.490      0.62       -18.37     0.69        8.37        15.21   -0.3389     0.162       28.58   -0.1105     0.0144 69046.90
BNBR3   84.00   5.48       1.23    0.000      0.0578  0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        0.2249 105556.00
BOBR4   2.17    39.63      -2.22   0.532      0.00    0.810      -3.00      5.03       -0.87       7.15        5.95    0.1058      0.0134      0.62    0.2198      -0.056 477530.00
BPAC11  82.60   30.55      2.92    0.000      0.0144  0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        0.0956 341422000.00
BPAC3   46.81   51.94      4.97    0.000      0.0085  0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        0.0956 474494.00
BPAC5   17.60   19.53      1.87    0.000      0.0226  0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        0.0956 274494.00
BPAN4   8.98    17.55      2.12    0.000      0.0186  0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        0.1206 44785300.00
BRAP3   39.25   42.96      1.25    0.000      0.0185  1.190      0.00       -759.41    0.00        -761.09     -761.09 0.00        0.00        0.00    0.00        0.029 625818.00
BRAP4   44.30   48.48      1.41    0.000      0.018   1.343      0.00       -857.12    0.00        -858.79     -858.79 0.00        0.00        0.00    0.00        0.029 93926800.00
BRDT3   21.09   13.25      2.50    0.290      0.0458  0.888      3.12       22.65      -6.28       26.25       17.48   0.0128      0.0219      2.29    0.0515      0.1889 169483000.00
BRFS3   20.70   13.63      2.48    0.470      0.00    0.344      3.78       5.87       -0.82       11.06       6.11    0.08        0.035       1.26    0.0928      0.1816 227204000.00
BRGE11  11.01   15.11      0.66    21.833     0.032   0.104      1.71       -1.86      -1.23       2.16        2.16    -11.7258    2.2765      1.10    -0.0721     0.0438 5079.20
